Vessel_CAT_ID,Vessel_ID,Vessel_Name,Vessel_Type,Vessel_Captain,Vessel_Type,Vessel_Category,Abbreviation
BARQ,BARQ_A000001,A. W. Plantenius,Barque,Bennet,Barge,Barge,BARG
BARQ,BARQ_A000002,Abigail,Barque,McFarland,Bark,Barque,BARQ
BARQ,BARQ_A000002,Abigail,Barque,,Barque,Barque,BARQ
BARQ,BARQ_A000003,Acme,Barque,Swan,Br. Barque,Barque,BARQ
BARQ,BARQ_A000004,Actress,Barque,,Bremen Bark,Barque,BARQ
BARQ,BARQ_A000005,Adelia Rogers,Barque,White,Bremen Barque,Barque,BARQ
BARQ,BARQ_A000006,Adjustor,Barque,Rickmers,British Barque,Barque,BARQ
BARQ,BARQ_A000007,Admiral Brommy,Barque,Meyer,English Barque,Barque,BARQ
BARQ,BARQ_A000008,Agnest,Barque,Harford,Hamburg Barque,Barque,BARQ
BARQ,BARQ_A000009,Albion Lincoln,Barque,Pinkham,Norwegian Barque,Barque,BARQ
BARQ,BARQ_A000010,Albus,Barque,Dorr,Prussian Barque,Barque,BARQ
BARQ,BARQ_A000011,Alice Tainter,Barque,Hutton,Russian Barque,Barque,BARQ
SHIP,BARQ_A000011,Alice Tainter,Ship,HuttonWS,Whaling Barque,Barque,BARQ
BARQ,BARQ_A000012,Allan,British Barque,Kerr,Boat,Boat,BOAT
BARQ,BARQ_A000013,Allen Kerr,Barque,Winter,Pilot Boat,Boat,BOAT
SHIP,BARQ_A000013,Allen Kerr,Ship,Winter,Br brig,Brig,BRIG
BARQ,BARQ_A000014,Alliotte,Barque,Baxter,Br. Brig,Brig,BRIG
BARQ,BARQ_A000015,Alpine,Br. Barque,Hunter,Bremen Brig,Brig,BRIG
SCHR,BARQ_A000015,Alpine,Schooner,Hunter,Bremen or Hamburg Brig,Brig,BRIG
BARQ,BARQ_A000016,Amanda,Barque,Harford,Brig,Brig,BRIG
BARQ,BARQ_A000016,Amanda,Barque,Bemis,British Brig,Brig,BRIG
BARQ,BARQ_A000017,Amphitrite,Barque,,Danish Brig,Brig,BRIG
BARQ,BARQ_A000018,Andrew Manson,Barque,Thompson,Hamburg Brig,Brig,BRIG
BARQ,BARQ_A000019,Ann E. Grant,Barque,Nelson,American Brigantine,Brigantine,BRGT
BARQ,BARQ_A000019,Ann E. Grant,Barque,Swaine,Light Boat,Lighter,LGHT
BARQ,BARQ_A000019,Ann E. Grant,Barque,Swann,Sail Lighter,Lighter,LGHT
BARQ,BARQ_A000019,Ann E. Grant,Barque,Swain,NULL,NULL,NULL
BARQ,BARQ_A000019,Ann E. Grant,Barque,,Unknown,NULL,NULL
BARQ,BARQ_A000020,Ann Thompson,Barque,,#N/A,NULL,NULL
BARQ,BARQ_A000021,Austin and Ellen,Barque,Burgess,Br. Schooner,Schooner,SCHR
BARQ,BARQ_A000022,Azelia,Barque,Davis,Bremen Schooner,Schooner,SCHR
BARQ,BARQ_A000022,Azelia,Barque,,British Schooner,Schooner,SCHR
BOAT,BOAT_A000001,A. C. Green,Boat,,Packet Schooner,Schooner,SCHR
BOAT,BOAT_A000001,A. C. Greene,Boat,,Schooner,Schooner,SCHR
BOAT,BOAT_A000005,A. Leiter,Boat,,Three Masted Schooner,Schooner,SCHR
BOAT,BOAT_A000005,Abraham Leiter,Boat,,Three-masted Schooner,Schooner,SCHR
BOAT,BOAT_A000007,A. W. Eastlack,Boat,,Threemaster Schooner,Schooner,SCHR
BOAT,BOAT_A000007,Andrew W. Eastlack,Boat,,U.S. Schooner,Schooner,SCHR
BOAT,BOAT_A000009,Abraham Serter,Boat,,Br. Ship,Ship,SHIP
BOAT,BOAT_A000010,Adaline,Boat,,Bremen Ship,Ship,SHIP
BOAT,BOAT_A000011,Advance,Boat,,British Ship,Ship,SHIP
BOAT,BOAT_A000012,Albany,Boat,,Caloric Ship,Ship,SHIP
BOAT,BOAT_A000013,Alexander Neill,Boat,,Clipper Ship,Ship,SHIP
BOAT,BOAT_A000014,American Flag,Boat,,Dutch Ship,Ship,SHIP
BOAT,BOAT_A000015,Ana Caroline,Boat,,Italian Ship,Ship,SHIP
BOAT,BOAT_A000015,Anna Caroline,Boat,,Russian Ship,Ship,SHIP
BOAT,BOAT_A000016,Andrew Jackson,Boat,,Ship,Ship,SHIP
BOAT,BOAT_A000018,Angonetta,Boat,,Ship (Clipper),Ship,SHIP
BOAT,BOAT_A000019,Ann Acts,Boat,,U.S. Ship,Ship,SHIP
BOAT,BOAT_A000020,Ann Caroline,Boat,,Sloop,Sloop,SLOP
BOAT,BOAT_A000021,Ann E. Arts,Boat,,Propeller,Steamboat,STMR
BOAT,BOAT_A000022,Ann Gillece,Boat,,Steam Propeller,Steamboat,STMR
BOAT,BOAT_A000022,Ann Gilleece,Boat,,Steamboat,Steamboat,STMR
BOAT,BOAT_A000022,Ann Gilleese,Boat,,Steamer,Steamboat,STMR
BOAT,BOAT_A000026,Ann Virginia,Boat,,Steamship,Steamboat,STMR
BOAT,BOAT_A000028,Ann Marion,Boat,,Steam Tug,Tugboat,TGBT
BOAT,BOAT_A000028,Anna Marian,Boat,,Towboat,Tugboat,TGBT
BOAT,BOAT_A000028,Anna Marion,Boat,,Towboat (Steamer),Tugboat,TGBT
BOAT,BOAT_A000030,A. S. Borden,Boat,,Yacht,Yacht,YCHT
BOAT,BOAT_A000030,Anna S. Borden,Boat,,Norfolk Packet,,PACK
BOAT,BOAT_A000031,Anna Woodward,Boat,,,,
BOAT,BOAT_A000032,Annawan,Boat,,,,
BOAT,BOAT_A000033,Anne Gilleace,Boat,,,,
BOAT,BOAT_A000034,Anzonella,Boat,,,,
BOAT,BOAT_A000035,A. Carey,Boat,,,,
BOAT,BOAT_A000035,A. Cary,Boat,,,,
BOAT,BOAT_A000035,Arch. Cary,Boat,,,,
BOAT,BOAT_A000035,Archibald Carey,Boat,,,,
BOAT,BOAT_A000035,Archibald Cary,Boat,,,,
BOAT,BOAT_A000038,Atlantic,Boat,,,,
BOAT,BOAT_A000039,Augusta,Boat,,,,
BOAT,BOAT_A000040,Augustine,Boat,,,,
BOAT,BOAT_Z000001,[Four unknown boats],Boat,,,,
BOAT,BOAT_Z000002,[Thirteen unknown boats],Boat,,,,
BOAT,BOAT_Z000003,[unknown],Boat,,,,
BOAT,BOAT_Z000004,[unnamed],Boat,,,,
BRIG,BRIG_A000001,A. Dunbar,Brig,Flinn,,,
BRIG,BRIG_A000001,A. Dunbar,Brig,Flaun,,,
BRIG,BRIG_A000001,A. Dunbar,Brig,Flynn,,,
BRIG,BRIG_A000004,A. Fearing,Brig,SpatesAC (master),,,
BRIG,BRIG_A000005,A. J. Applegarth,Brig,Hollang,,,
BRIG,BRIG_A000006,Abathula,Brig,Kelly,,,
BRIG,BRIG_A000007,Abby,Brig,Thaxter,,,
BRIG,BRIG_A000008,Abby Lawrence,Brig,Kelly,,,
BRIG,BRIG_A000009,Abby Watson,Brig,,,,
BRIG,BRIG_A000010,Acorn,Brig,Coombs,,,
BRIG,BRIG_A000011,Adeline Sprague,Brig,Smith,,,
BRIG,BRIG_A000012,Agile,Brig,Warren,,,
BRIG,BRIG_A000013,Alamode,Brig,Crocker,,,
BRIG,BRIG_A000014,Albana,British Brig,,,,
BRIG,BRIG_A000015,Albis,Hamburg Brig,Ahrens,,,
BRIG,BRIG_A000015,Albis,Hamburg Brig,Abrens,,,
BRIG,BRIG_A000017,Alcenus,Brig,Shaw,,,
BRIG,BRIG_A000018,Allicabah,Brig,Cole,,,
BRIG,BRIG_A000019,Almon Rowell,Brig,Rowell,,,
BRIG,BRIG_A000020,Altavelta,Brig,Gilkey,,,
BRIG,BRIG_A000021,America,Brig,,,,
BRIG,BRIG_A000021,America,Brig,Robbins,,,
BRIG,BRIG_A000023,Amos Lawrence,Brig,Talley,,,
BRIG,BRIG_A000024,Ampula,Br. Brig,Daniels,,,
BRIG,BRIG_A000024,Ampula,Brig,Daniel,,,
BRIG,BRIG_A000026,Andover,Brig,Atkins,,,
BRIG,BRIG_A000026,Andover,Brig,Hardy,,,
BRIG,BRIG_A000026,Andover,Brig,Smith,,,
BRIG,BRIG_A000026,Andover,Brig,Crowell,,,
BRIG,BRIG_A000030,Ann Elizabeth,Brig,Taylor,,,
BRIG,BRIG_A000030,Ann Elizabeth,Brig,Eldridge,,,
BRIG,BRIG_A000030,Ann Elizabeth,Brig,Kendrick,,,
BRIG,BRIG_A000030,Ann Elizabeth,Brig,,,,
BRIG,BRIG_A000030,Ann Elizabeth,Brig,Gould,,,
BRIG,BRIG_A000035,Ann M. Weeks,Brig,Norris,,,
BRIG,BRIG_A000035,Ann M. Weeks,Brig,Norwood,,,
BRIG,BRIG_A000037,Antelope,Brig,,,,
BRIG,BRIG_A000037,Antelope,Brig,Gunn,,,
BRIG,BRIG_A000040,Antonio Overnet,Brig,Benson,,,
BRIG,BRIG_A000041,Aound,Br. Brig,,,,
BRIG,BRIG_A000042,Aranus,Brig,Church,,,
BRIG,BRIG_A000043,Argo,Brig,Auld,,,
BRIG,BRIG_A000044,Ariel,Brig,Atkins,,,
BRIG,BRIG_A000045,Arrow,Brig,Michner,,,
BRIG,BRIG_A000046,Arve,Brig,Wooster,,,
BRIG,BRIG_A000047,Austin,Brig,Burgess,,,
BRIG,BRIG_A000048,Azalia,Brig,Parritt,,,
BRIG,BRIG_Z000001,[Osca…],Brig,,,,
LGHT,LGHT_A000001,Albertine,Sail Lighter,Hare,,,
LGHT,LGHT_A000002,Anacosta,Sail Lighter,,,,
NULL,NULL_A000001,Anna Francis,Unknown,,,,
NULL,NULL_Z000001,[unknown],#N/A,Hudson,,,
NULL,NULL_Z000002,[unknown],,,,,
SCHR,SCHR_A000001,A. & E. Baker,Schooner,Ireland,,,
SCHR,SCHR_A000001,A. E. Baker,Schooner,,,,
SCHR,SCHR_A000002,A. Baker,Schooner,Baker,,,
SCHR,SCHR_A000003,A. Armstrong,Schooner,Mathews,,,
SCHR,SCHR_A000004,A. B. Moore,Schooner,,,,
SCHR,SCHR_A000005,A. B. Preston,Schooner,Bacon,,,
SCHR,SCHR_A000006,A. B. Tarry,Schooner,Tuttle,,,
SCHR,SCHR_A000006,A. B. Terry,Schooner,Wright,,,
SCHR,SCHR_A000006,A. B. Terry,Schooner,Creamer,,,
SCHR,SCHR_A000006,A. B. Terry,Schooner,Cranmer,,,
SCHR,SCHR_A000007,A. Bradshaw,Schooner,Fisher,,,
SCHR,SCHR_A000008,A. C. Glover,Schooner,,,,
SCHR,SCHR_A000009,A. Corson,Schooner,Corson,,,
SCHR,SCHR_A000010,A. D. Pitts,Schooner,Price,,,
SCHR,SCHR_A000011,A. Devereux,Schooner,Sullivan,,,
SCHR,SCHR_A000011,A. Devereux,Schooner,Sulivan,,,
SCHR,SCHR_A000013,A. E. Barnes,Schooner,Betsworth,,,
SCHR,SCHR_A000013,A. E. Barnes,Schooner,Dill,,,
SCHR,SCHR_A000015,A. E. Elliott,Schooner,,,,
SCHR,SCHR_A000016,A. E. Glover,Schooner,Robinson,,,
SCHR,SCHR_A000017,A. Elliott,Schooner,DeGroat,,,
SCHR,SCHR_A000018,A. Ellis,Schooner,Shepard,,,
SCHR,SCHR_A000019,A. Emmerson,Schooner,Burton,,,
