Entry_ID,Source_ID,Type,Event_Date,Event_Type,Location_Depart_From,Location_Memo,Location_Arrive_To,Vessel_Name,Vessel_Type,Vessel_Additional_Description,Freight,Merchant_From_(By),Merchant_To,ADDITIONAL NOTES
A00000019,AG_18350123,Marine,1835-01-22,Arrival,NS-Halifax,,VA-Alex,Tay,Br. Schooner,Wilkie,plaister,,Fowle,
A00000020,AG_18400825,Marine,1840-08-24,Arrival,ME-Eastport,,VA-Alex,Eagle,Boat,Hall,plaister,,Cazenove,
A00000021,AG_18401202,Marine,1840-12-01,Arrival,ME-Lubec,MA-Boston,VA-Alex,Guest,Schooner,Higgins,plaister,,Fowle,
A00000022,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Namshong,Schooner,Matthews,plaister,,Fowle,
A00000023,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Saratoga,Schooner,Rodgers,plaister,,Fowle,
A00000024,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Marion,Schooner,Smith,plaister,,to order,
A00000025,AG_18411013,Marine,1841-10-12,Arrival,MA-Boston,,VA-Alex,Albion,Schooner,Bray,plaister,,to order,
A00000026,AG_18411013,Marine,1841-10-12,Memoranda,ME-Eastport,MA-SouthWellfleet,MD-Baltimore,Gov. Francis,Schooner,Shaw,plaister,,,"Schr. Gov. Francis, (of Robinson,) Shaw, from Eastport for Baltimore, with plaster and grindstones, went ashore at South Wellfleet, about 6 P.M., 4th, and immediately went to pieces. Capt. Shaw and his three sons were drowned. Mr. John Spates drifted ashore on the bowsprit about midnight. He was nearly unconscious, but gained some pine woods, and there passed the rest of the night."
A00000027,AG_18420818,Marine,1842-08-17,Arrival,ME-Eastport,,VA-Alex,Warren,Schooner,Tarr,plaister,,Cazenove,also carrying laths
A00000028,AG_18420827,Marine,1842-08-26,Arrival,ME-Lubec,,VA-Alex,Gulmare,Brig,Tebbets,plaister,,Lam-McK,
A00000029,AG_18421015,Marine,1842-10-14,Arrival,Nova Scotia,,VA-Alex,Margaret & Elizabeth,Brig,Falkner,plaister,,Lam-McK,
A00000030,AG_18440409,Marine,1844-04-08,Arrival,ME-Portland,,VA-Alex,Abathula,Brig,Kelly,plaister,,Fowle,
A00000031,AG_18440409,Marine,1844-04-08,Arrival,NS-Halifax,,VA-Alex,Lucy,Schooner,Rogers,plaister,,Fowle,
A00000032,AG_18440409,Marine,1844-04-08,Arrival,ME-Lubec,,VA-Alex,Velocity,Schooner,Montgomery,plaister,,Cazenove,
A00000033,AG_18440409,Marine,1844-04-08,Arrival,ME-Thomaston,,VA-Alex,Susan Ludwig,Schooner,Curling,lime,,Lam-McK,
A00000034,AG_18440409,Marine,1844-04-08,Arrival,ME-Eastport,,VA-Alex,Lucretia,Schooner,Spotes,plaister,,Cazenove,also carrying laths
A00000035,AG_18440525,Marine,1844-05-24,Arrival,ME-Eastport,,VA-Alex,Pandora,Brig,Bailey,plaister,,Cazenove,also carrying laths
A00000036,AG_18440525,Marine,1844-05-24,Arrival,NS-Halifax,,VA-Alex,Favourite,Br. Brig,Masters,plaister,,Mast-Cox,
A00000037,AG_18440909,Marine,1844-09-07,Arrival,MA-Boston,,VA-Alex,Forest King,Schooner,Kelly,plaister,,Fowle,
A00000038,AG_18441024,Canal,1844-10-23,To Load (Arrived),MD-Hancock,,VA-Alex,Emily Harriett,Boat,,plaister,,,
A00000214,AG_18450414,Marine,1845-04-12,Arrival,MA-Boston,,VA-Alex,Virginia,Brig,Kendrick,plaister,,Fowle,also carried freight for the District
A00000215,AG_18450414,Marine,1845-04-12,Arrival,MA-Boston,,VA-Alex,Joseph,Schooner,Matthews,plaister,,Cazenove,
